price,address,bedrooms,per_month
"$330,000","3930 N Pine Grove Ave #1815 , Chicago, IL 60613",2.0,"$3,440 per month"
"$425,000","2605 N Oak Park Ave , Chicago, IL 60707",4.0,"$2,741 per month"
"$350,000","400 E Randolph St #2208 , Chicago, IL 60601",1.0,"$3,273 per month"
"$430,000","400 E Randolph St #1710 , Chicago, IL 60601",2.0,"$4,307 per month"
"$300,500","6209 S Justine St , Chicago, IL 60636",5.0,"$1,866 per month"
"$340,000","8630 S Bishop St , Chicago, IL 60620",5.0,"$2,141 per month"
"$785,000","4537 N Clark St Unit 3C , Chicago, IL 60640",3.0,"$5,465 per month"
"$749,000","2951 W Jarlath St , Chicago, IL 60645",3.0,"$4,718 per month"
"$649,000","2411 W Walton St Unit 3E , Chicago, IL 60622",2.0,"$4,929 per month"
"$2,550,000","1900 W Cortland St , Chicago, IL 60622",5.0,"$15,471 per month"
"$499,950","6207 W Eastwood Ave , Chicago, IL 60630",4.0,"$3,305 per month"
"$575,000","6006 N Lawndale Ave , Chicago, IL 60659",3.0,"$4,034 per month"
"$599,000","3027 N Racine Ave #3 , Chicago, IL 60657",2.0,"$4,519 per month"
"$275,000","4263 W Montrose Ave , Chicago, IL 60641",3.0,"$2,253 per month"
"$1,175,000","3417 W Evergreen Ave , Chicago, IL 60651",16.0,"$7,519 per month"
"$349,000","7952 S Marquette Ave , Chicago, IL 60617",9.0,"$2,503 per month"
"$750,000","650 N Morgan St #202 , Chicago, IL 60642",3.0,"$5,901 per month"
